name;description;location;likes;dislikes;benefits_cordial;benefits_loyal;benefits_intimate;last_demand
Aaliyah;Aaliyah e uma bela moreau do gato com cabelos cinzas assim como suas orelhas e longa cauda felpuda, magra e com pernas longas. Os olhos felinos sao cor de caramelo e demonstram muito afeto mas tambem astucia. Por tras do sorriso doce e recepcao calorosa Aaliyah esta prestando atencao a tudo que acontece ao redor aproveitando seus silenciosos passos de gata para se esgueirar quando quer ver ou ouvir algo que nao deveria. Quando nao esta espreitando ou trabalhando senta-se na recepcao para fazer seu trico.;Casa de Banho;Cafune na cabeca|trico|perfumes|fofoca;Coisas e pessoas fedorentas|barulho|chuva;Voce recebe +2 em Percepcao.;Voce ignora penalidades de armadura em Acrobacia e Furtividade.;Voce pode usar a honraria da Casa de Banho uma vez adicional por dia.;Incapaz de conter sua curiosidade felina Aaliyah gostaria de poder visitar alguma das masmorras (qualquer uma mesmo alguma bem pequenininha) para ver com os proprios olhos as maravilhas que contem. Sera uma missao de escolta para qualquer masmorra.
Andris;Calmo e placido como as aguas Andris e um qareen moreno de cabelos claros. Passa boa parte de seus dias debrucado sobre uma bancada limpando peixes ou cuidando dos criadouros aquaticos. Muitos comentam sobre como ele e o exato oposto de Nerus sua esposa. Ainda assim tornou-se seu parceiro mais duradouro desde os primodios de Candessah. Suas roupas sao leves: usa braceletes de couro onde costuma limpar as facas e uma calca impecavelmente branca.;Pesqueiro;Peixes raros|facas de qualidade|organizacao;Trajes de cores muito fortes|bagunca;Voce recebe +5 em testes de pericia para extrair recursos de criaturas.;Voce recebe +1 na margem de ameaca com armas corpo a corpo leves ou de uma mao que causam dano de perfuracao.;Quando passa em um teste de Sobrevivencia para identificar criatura voce aumenta o bonus na margem de ameaca acima contra essa criatura para +2.;Andris sonha com uma faca que nunca perca o fio. Para isso ele pede uma missao de manufatura nas masmorras de Oceano ou Wynna ou uma missao de recuperacao na masmorra de Keenn.
Artemisia;Esta silfide de cabelos verdes e olhos espertos esta sempre a procura de apostas e diversao. Curiosa e bem humorada com certeza sera a primeira convidando os aventureiros para um jogo de cartas. Artemisia gosta de dizer entre risos que a sua sorte e inversamente proporcional a seu tamanho.;Taverna;Jogos de azar|bebidas fortes|tudo que seja verde;Livros|pocoes magicas|armas de ferro;Uma vez por masmorra ao rolar 10 ou menos no dado em um teste de pericia voce pode rolar +1d4 e somar ao resultado.;Como acima mas muda o dado de bonus para +1d6.;Como acima mas pode ser usado duas vezes por masmorra (apenas uma vez em cada teste).;Artemisia acredita que sua infindavel sorte vem de um dado magico abencado. Entretanto sempre que ela perde um jogo a magia do dado falha e a bencao precisa ser renovada. Apos derrota-la em um teste de Jogatina role uma missao na tabela de missoes aleatorias envolvendo o dado abencado de Artemisia.
Ashtad;As simpaticas cuidadoras do Antiquario sao fisicamente similares, ambas qareen de pele dourada com manchas irregulares prateadas em pontos aleatorios dos corpos atleticos. Ashtad tem cabelos ruivos e olhos ambar sendo mais vista durante o dia; dona de personalidade vibrante ela prefere acao e termos praticos. Ash e Khor (como preferem ser chamadas) nunca sao vistas juntas e evitam qualquer pergunta a respeito disso.;Antiquario;Itens magicos|flores|perfumes|joias|doces;Barulho|curiosidade exagerada|perguntas pessoais|multidoes;Voce recebe +5 em testes de pericia para identificar itens e seus usos.;Voce recebe 10% de desconto em itens no Antiquario (cumulativo).;Voce pode vestir um item magico adicional.;Ash e Khor tem um segredo guardado a sete chaves que so pode ser revelado com uma missao de pesquisa em uma das seguintes masmorras: Glorienn, Tanna-Toh ou Wynna. O segredo: devido a um acidente magico Ash e Khor compartilham o mesmo corpo sendo cada uma dominante durante o dia ou noite. A revelacao faz com que enfim aceitem tornar publica sua condicao.
Khordad;As simpaticas cuidadoras do Antiquario sao fisicamente similares, ambas qareen de pele dourada com manchas irregulares prateadas em pontos aleatorios dos corpos atleticos. Khordad tem cabelos escuros e olhos violeta tendendo a ser mais reclusa e objetiva. Ash e Khor (como preferem ser chamadas) nunca sao vistas juntas e evitam qualquer pergunta a respeito disso.;Antiquario;Itens magicos|flores|perfumes|joias|livros;Barulho|curiosidade exagerada|perguntas pessoais|multidoes;Voce recebe +5 em testes de pericia para identificar itens e seus usos.;Voce recebe 10% de desconto em itens no Antiquario (cumulativo).;Voce pode vestir um item magico adicional.;Ash e Khor tem um segredo guardado a sete chaves que so pode ser revelado com uma missao de pesquisa em uma das seguintes masmorras: Glorienn, Tanna-Toh ou Wynna. O segredo: devido a um acidente magico Ash e Khor compartilham o mesmo corpo sendo cada uma dominante durante o dia ou noite. A revelacao faz com que enfim aceitem tornar publica sua condicao.
Barossa;Esta pequena sulfure de pele azul e oculos pode ser encontrada estudando. A visao de seu imenso chapeu e manto de peles e comum nas sessoes sobre zoologia da biblioteca. Ao encontrar os aventureiros vai alternar entre sentir muita vergonha e encher todos de perguntas. Especialmente sobre hidras!;Biblioteca;Hidras|partes de monstros|historias|sorvete de maracuja;Barulho|dias de sol|picole de uva|multidoes;Voce recebe +2 em testes de pericia para identificar criatura.;Quando e atacado por uma criatura para cada ataque dessa criatura alem do primeiro que sofrer na rodada voce recebe um bonus cumulativo de +2 na Defesa e em reducao de dano contra ela. Estes bonus duram ate o fim da rodada.;Uma vez por rodada voce pode identificar criatura como uma acao livre. Se passar no teste alem das informacoes normais voce recebe +2 em testes de pericia contra ela.;Barossa estuda hidras com afinco para um dia criar a sua propria. Porem suas ideias fantasiosas sobre a criatura interferem na conjuracao. Para vencer essa dificuldade precisa de uma missao de escolta a uma das seguintes masmorras: Megalokk, Sszzaas ou Thyatis.
Bragi;De bracos cruzados recostado a uma parede da taverna uma figura sempre observa. Olhos fendidos e dourados encaram os recem-chegados a espada montante nas costas e um cartao de visitas para quem quiser tentar a sorte. O rosto palido e emoldurado por cabelo castanho-avermelhado rebelde um par de chifres e pequenas escamas de dragao ao redor do rosto. Isolado e ranzinza fazer amizade com esse sulfure parece impossivel.;Taverna;Montantes|qareen|instrumentos musicais;Cores vibrantes|comidas picantes|armas leves;Voce recebe proficiencia em uma arma marcial corpo a corpo de duas maos a sua escolha. Caso ja possua proficiencia na arma escolhida em vez disso recebe +2 em rolagens de dano com ela.;Voce recebe +1 em testes de ataque e na margem de ameaca com armas de duas maos.;Uma vez por cena voce recebe 10 PV temporarios por patamar de jogo. Se ate o inicio do proximo turno voce perder todos esses PV recebe 2 PM temporarios. Alem disso os bonus da Afinidade Leal aumentam para +2.;Bragi costumava ser um bardo alegre ate perder seus entes queridos durante um raro acidente fatal em Candessah. Seu desejo final e uma missao de caca a violenta criatura que levou aqueles que amava (em qualquer masmorra que o mestre achar apropriado).
Caliandre;Os cabelos desta aggelus sao negros e lustrosos enquanto um halo luminoso brilha acima da cabeca. O corpo e rajado com veios dourados que contrastam com a pele escura. Esta sempre sorrindo e adora ser desafiada para um combate amistoso. Sua arma e especial pois pode se transformar em outras mudando de forma para adequar-se ao que deseja fazer durante uma luta. Em seu tempo livre estara sempre praticando novas combinacoes de ataques e manobras.;Arena;Armas exoticas|combate|manobras|duelos;Magia arcana|passividade|inimigos em desvantagem;Voce recebe um bonus de +5 em testes de manobra.;Voce pode usar um poder a sua escolha entre Derrubar Aprimorado, Desarmar Aprimorado, Finta Aprimorada ou Quebrar Aprimorado.;Caliandre se torna uma parceira combatente mestre que acompanha voce nas masmorras.;Caliandre e uma avida colecionadora de armas. Sua missao final envolve a recuperacao de uma arma especifica na masmorra de Tauron, Lin-Wu, Keenn ou Khalmyr.
Ehmmed;A figura envolta em pesados mantos escuros e uma visao rara mesmo para os nativos da cidade. O qareen de olhos prateados e cabelos brancos tem sempre uma das duas expressoes no rosto: tedio ou cansaco. Ele nao costuma aparecer para aventureiros que ainda nao tenham se provado habilidosos (vencendo a decima masmorra ou cinco missoes para a guilda). Tambem nao parece gostar muito deles sempre com uma reclamacao ou comentario acido na ponta da lingua. Geralmente e encontrado estudando ou resolvendo problemas de outros moradores na Biblioteca.;Biblioteca;Candessah|saber;Aventureiros|ameacas a Candessah ou a seus cidadaos;Voce aprende e pode lancar uma magia arcana de convocacao ou transmutacao de 1o circulo a sua escolha.;Voce ganha +2 PM para usar em aprimoramentos da magia escolhida.;Quando voce morre em vez disso fica com 0 PV e e resgatado magicamente por um furioso Ehmmed. Voce e os demais personagens sao teleportados de volta a Candessah. Este salvamento ocorre apenas uma vez na campanha.;Apesar dos seus maus modos Ehmmed e legitimamente preocupado com todos cidadaos de Candessah sendo um rabugento protetor. Para adquirir a sua afeicao maxima e preciso cumprir a Ultima Demanda de outra pessoa.
Frann;A silhueta de Frann e inconfundivel, longilinea de terninho oculos e nos cabelos serpentes curtas bem disciplinadas coloridas em padrao de vermelho amarelo e preto. Esta bela medusa inventora e responsavel por todas as inovacoes tecnicas na cidade. Dona de um espirito curioso e cetico quase nunca e vista fora do laboratorio: dizem que suas proezas desafiam ate mesmo o limite de feitos arcanos! Infelizmente isso vem junto com ocasionais explosoes.;Laboratorio;Inovacao|tecnologia|armas de fogo|roupas casuais|armaduras;Apego as tradicoes e ao passado|historia|roupas formais;Cada visita a Candessah conta como tres semanas para fabricacao de itens permanentes.;Como acima mas cada visita ao Laboratorio passa a contar como quatro semanas em vez de tres.;Reduz o tempo de fabricacao de um item permanente pela metade.;Frann deseja explorar os limites de suas invencoes e provar-se para todos na cidade. Para isso precisa de uma missao de escolta em qualquer masmorra.
