name;short_description;full_description;services;honors;npcs
antiquario;para itens magicos;Esse pequeno chale de madeira tem um ar misterioso e simpatico, com grandes janelas de vidro pontilhado colorido e um pergolado coberto por rosas minusculas na entrada. Seu interior exibe um salao apinhado de estantes contendo todo tipo de item, magico ou nao. Durante o dia e possivel encontrar Ashtad, sentada na sacada, geralmente lendo; e durante a noite Khordad cuida do lugar, iluminado a luz de velas.;Compra e venda de acessorios magicos. Sempre que um personagem procura um acessorio especifico, role sua disponibilidade. A chance e de 75% para acessorios menores, 50% para acessorios medios e 25% para acessorios maiores.;Voce recebe um acessorio magico menor (caso seja um personagem de patamar veterano), medio (campiao) ou maior (lenda) a sua escolha.;Ashtad|Khordad
arena;para aquisicao de poderes de combate;Este anfiteatro e um lugar para combatentes testarem seus talentos e ganharem algum dinheiro. A grande campea Caliandre esta sempre pronta para lutar de forma amistosa trazendo a tona as habilidades dos personagens. Tambem e possivel encontrar aqui o minotauro Juno antigo gladiador de Tapista e Martin que em vida era um mercenario em Portsmouth. Os combates reunem espectadores de Candessah ansiosos para ver os herois lutando em confrontos quase nunca mortais.;Uma vez por repouso em Candessah cada personagem pode participar de um combate na arena e fazer uma aposta em tibares. Desempenho representado com um teste de Luta: 9 ou menos perde toda a quantia apostada | 10 a 14 recebe metade | 15 a 19 recebe toda a quantia | 20 a 29 recebe o dobro | 30 ou mais recebe o triplo. Um personagem tambem pode apostar como expectador usando Jogatina.;Voce recebe um poder de combate a sua escolha.;Caliandre|Juno|Martin
biblioteca;para pesquisas aquisicao de poderes e magias arcanas;Essa construcao alta tem arquitetura de linhas retas e elegantes com colunas ornamentais em marmore branco e cercada de grandes espelhos dagua. Fica proxima ao antiquario e ao bosque sendo destino recorrente de Ehmmed o Sabio, Teclis o escriba e Barossa a Estudiosa. E normal encontrar qualquer deles nos corredores silenciosos da biblioteca muitas vezes surpreendendo visitantes curiosos.;Meios para testes de Conhecimento e outras pericias para encontrar informacoes sobre qualquer assunto. Tambem vende pergaminhos. Para comprar um pergaminho com uma magia especifica role 1d6. Se o resultado e maior que o circulo do pergaminho desejado ele esta disponivel.;Quando voce faz um teste de Conhecimento ou Misticismo pode pagar 1 PM para rolar dois dados e escolher o melhor resultado.;Barossa|Ehmmed|Teclis
bosque;para treino de caca rastreio e obtencao de parceiros animais;Nao muito distante da cidade apos caminhada breve pode-se chegar a um belo bosque lilas. As altas copas das arvores dividem espaco com pequenos arbustos em uma vegetacao diversa que se mistura. Luz do dia atravessa a folhagem desenhando sombras no solo forrado de folhas secas. Nenhum vozerio urbano chega ate aqui apenas os sons da natureza. Frutas silvestres e cogumelos sao abundantes. Em meio a tanta beleza e paz pode-se ver Lassance a protetora do bosque andando livremente. Alem dela ha outra moradora: a timida Viridiane.;Clareiras para treinos e meditacao territorio de caca ou coleta de materiais e ingredientes encontrados nos ermos.;Voce pode usar a habilidade Marca da Presa como um cacador de mesmo nivel. Se ja tem esta habilidade cada dado de dano dela aumenta em um passo (de +2d10 para +2d12 por exemplo).;Lassance|Viridiane
casa_de_banho;para cura descanso e recuperacao;Esta ampla construcao de pedra poderia parecer imponente e agressiva mas curiosamente nao e. Seus vapores e cheiros adocicados sao como um leve afago aos que passam em frente. Ao entrar sao recebidos por Aaliyah a concierge do lugar. Dentro belas pinturas de paisagens relaxantes revestem as paredes levando ate salas de banho azulejadas em azul muito claro e limpo. Apos a limpeza corporal e permitido adentrar o paraiso: vapor delicioso eleva-se da agua quente tornando o lugar aconchegante. Sob inebriante cheiro de almiscar e lavanda a sensacao e de estar no ceu.;Seus PV maximos aumentam em +5 por patamar. Uma noite aqui tambem remove qualquer condicao temporaria.;Uma vez por dia voce obtem o resultado maximo nos dados de cura de uma de suas habilidades de cura.;Aaliyah
churrascaria;pratos exoticos preparo de caca e pesca;Fumaca com cheiro de carne exala constante da chamine ao lado deste grande predio. Em seu vasto salao circular muitas mesas e cadeiras cercando a bancada de um grande cozinheiro. Tonhao o churrasqueiro segue virando espetos e salgando carnes enquanto Punddin a gourmand prepara pratos principais e acompanhamentos. Quem acredita que comida nao e arte nunca viu esses dois trabalhando juntos.;Bebidas e pratos comuns sem custo quaisquer outras por seu custo normal. Tambem pode-se preparar o famoso misturadinho dos deuses prato exclusivo feito com insumos fornecidos pelos herois. Cada porcao pode ter ate tres acompanhamentos diferentes exigindo um ingrediente ou um mantimento por acompanhamento. Os efeitos sao cumulativos. Linguica Desconstruida: +2d4 PV temporarios | Espetinho de Kraken: +1d4 PM temporarios | Melancia Brilhante: +1 em testes de Resistencia | Vinagrete Glopico: deslocamento +1,5m | Arroz: +2 em uma pericia a escolha exceto Luta e Pontaria. Uma porcao custa T$ 50.;Voce recebe +2 em Fortitude e uma vez por dia pode remover uma de suas condicoes de cansaco.;Punddin|Tonhao
estalagem;para descanso e recuperacao;Esta construcao terrea esta entre as mais chamativas para recem-chegados a Candessah com seu interior todo revestido de madeira escura e vitrais coloridos. Apesar da imponencia e um lugar tranquilo e quase sempre vazio ainda que muito bem cuidado por Mahin. Oferece todo tipo de acomodacao para diferentes hospedes com diferentes necessidades incluindo tanques de agua salgada e um grande jardim interno.;Seus PV maximos aumentam em +5 por patamar. Inclui varios quartos especiais para sereias elfos-do-mar devotos de Allihanna.;Seu descanso recupera 1 PM e 1 PV adicional por nivel.;Mahin
guilda;para missoes menores contratacao de ajudantes ou criacao de novos personagens jogadores;Salao comunal com dois andares a guilda esta sempre agitada. Cidadaos de Candessah requisitam e cumprem missoes postadas no grande quadro atras do balcao onde a amistosa Myssia a recepcionista os gerencia. Longas mesas com assentos acomodam grupos de aventureiros para planejar novas incursoes ou celebrar aquelas bem-sucedidas.;A guilda oferece missoes requisitadas por outros NPCs. A natureza de cada missao e sua recompensa podem ser escolhidas pelo mestre ou resolvidas aleatoriamente usando a tabela de missoes aleatorias.;Voce recebe uma recompensa adicional em cada missao. Role 1d6 novamente na coluna Recompensa da tabela de missoes aleatorias.;Myssia
laboratorio;loja de pocoes itens de cura e inventos;O interior deste casebre abarrotado de frascos com ingredientes alquimicos e maquinarios estranhos e tambem o lar de Nthanda e Frann. Suas chamines exalam incessante fumaca colorida e ocasionalmente e possivel ouvir explosoes em seu interior.;Itens alquimicos. Tambem vende pocoes magicas. Para comprar uma pocao role 1d6. Se o resultado e maior que o circulo da pocao desejada ela esta disponivel.;A CD dos itens alquimicos que voce usa aumenta em +2; ou voce recebe uma engenhoca que simula uma magia de circulo que pode criar e que nao conta em seu limite de engenhocas.;Frann|Nthanda
mercado;para tudo que os outros lugares nao oferecem;Antes mesmo de chegar a praca principal pode-se ouvir o burburinho. Bazares se espalham de forma aparentemente caotica mas o olhar atento logo percebe certa organizacao. Mercadores anunciam suas ofertas clientes negociam pechinchas. Uma enorme banca pertence a Tharuk o mercador e sua filha Nahiri. Tambem chama atencao uma banca menor cheirosa e vistosa pertencente a Lyssara a florista.;Todos os itens comuns nao magicos presentes no livro basico Tormenta20 nao encontrados nos outros locais de Candessah bem como quaisquer outras coisas a criterio do mestre.;Uma vez por repouso voce recebe 30% de desconto no preco de um unico item.;Lyssara|Nahiri|Tharuk
